1
 PROGRAM ACPGB                            DATE= 0: 0:   0  TIME= 0: 0: 0
 Visibility keys, face of accretion disk
 Visibility keys component    1
  1.000 -0.102 -0.226 -0.346 -0.459 -0.563 -0.658 -0.741 -0.811 -0.866
 -0.907 -0.931 -0.939 -0.931 -0.907 -0.867 -0.811 -0.742 -0.659 -0.564
 -0.460 -0.347 -0.228 -0.104  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   30   49
  1.000 -0.095 -0.216 -0.333 -0.444 -0.546 -0.639 -0.720 -0.789 -0.843
 -0.883 -0.907 -0.915 -0.907 -0.883 -0.844 -0.789 -0.721 -0.640 -0.547
 -0.445 -0.334 -0.217 -0.096  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   31   49
  1.000 -0.086 -0.204 -0.319 -0.427 -0.527 -0.617 -0.697 -0.763 -0.817
 -0.855 -0.879 -0.887 -0.879 -0.856 -0.817 -0.764 -0.697 -0.618 -0.528
 -0.428 -0.320 -0.206 -0.088  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   32   49
  1.000 -0.077 -0.192 -0.303 -0.408 -0.505 -0.593 -0.670 -0.735 -0.786
 -0.824 -0.847 -0.854 -0.847 -0.824 -0.787 -0.735 -0.671 -0.594 -0.506
 -0.409 -0.304 -0.193 -0.079  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   33   49
  1.000 -0.068 -0.179 -0.286 -0.387 -0.481 -0.566 -0.640 -0.703 -0.753
 -0.789 -0.811 -0.819 -0.811 -0.789 -0.753 -0.704 -0.641 -0.567 -0.482
 -0.388 -0.287 -0.180 -0.070  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   34   49
  1.000 -0.059 -0.165 -0.268 -0.365 -0.455 -0.537 -0.608 -0.668 -0.716
 -0.751 -0.772 -0.779 -0.772 -0.751 -0.717 -0.669 -0.609 -0.538 -0.456
 -0.366 -0.269 -0.167 -0.060  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   35   49
  1.000 -0.049 -0.151 -0.249 -0.342 -0.427 -0.505 -0.573 -0.631 -0.676
 -0.709 -0.730 -0.737 -0.730 -0.710 -0.677 -0.631 -0.574 -0.506 -0.428
 -0.343 -0.250 -0.152 -0.051  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   36   49
  1.000 -0.040 -0.136 -0.229 -0.316 -0.398 -0.471 -0.536 -0.590 -0.634
 -0.665 -0.684 -0.691 -0.684 -0.665 -0.634 -0.591 -0.537 -0.472 -0.399
 -0.317 -0.230 -0.137 -0.041  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   37   49
  1.000 -0.030 -0.120 -0.207 -0.290 -0.366 -0.436 -0.496 -0.547 -0.588
 -0.618 -0.636 -0.642 -0.636 -0.618 -0.589 -0.548 -0.497 -0.436 -0.367
 -0.291 -0.208 -0.121 -0.031  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   38   49
  1.000 -0.020 -0.104 -0.185 -0.262 -0.334 -0.398 -0.455 -0.502 -0.540
 -0.568 -0.585 -0.590 -0.585 -0.568 -0.541 -0.503 -0.455 -0.399 -0.334
 -0.263 -0.186 -0.105 -0.021  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   39   49
  1.000 -0.009 -0.087 -0.162 -0.233 -0.299 -0.359 -0.411 -0.455 -0.490
 -0.516 -0.531 -0.536 -0.531 -0.516 -0.491 -0.456 -0.412 -0.359 -0.300
 -0.234 -0.163 -0.088 -0.010  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   40   49
  1.000  1.000 -0.070 -0.139 -0.203 -0.264 -0.318 -0.366 -0.406 -0.438
 -0.461 -0.475 -0.480 -0.475 -0.461 -0.438 -0.406 -0.366 -0.319 -0.264
 -0.204 -0.139 -0.071 -0.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   41   49
  1.000  1.000 -0.053 -0.114 -0.173 -0.227 -0.276 -0.319 -0.355 -0.384
 -0.405 -0.417 -0.422 -0.418 -0.405 -0.384 -0.355 -0.319 -0.276 -0.228
 -0.174 -0.115 -0.054  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   42   49
  1.000  1.000 -0.035 -0.090 -0.141 -0.189 -0.233 -0.271 -0.303 -0.328
 -0.347 -0.358 -0.362 -0.358 -0.347 -0.328 -0.303 -0.271 -0.233 -0.190
 -0.142 -0.090 -0.036  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   43   49
  1.000  1.000 -0.018 -0.065 -0.109 -0.151 -0.188 -0.221 -0.249 -0.271
 -0.287 -0.297 -0.300 -0.297 -0.287 -0.271 -0.249 -0.222 -0.189 -0.151
 -0.110 -0.065 -0.018  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   44   49
  1.000  1.000  1.000 -0.040 -0.077 -0.112 -0.143 -0.171 -0.194 -0.213
 -0.226 -0.234 -0.237 -0.234 -0.226 -0.213 -0.194 -0.171 -0.144 -0.112
 -0.077 -0.040 -0.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   45   49
  1.000  1.000  1.000 -0.014 -0.044 -0.072 -0.098 -0.120 -0.139 -0.153
 -0.164 -0.171 -0.173 -0.171 -0.164 -0.154 -0.139 -0.120 -0.098 -0.073
 -0.045 -0.014  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   46   49
  1.000  1.000  1.000  1.000 -0.011 -0.032 -0.052 -0.068 -0.082 -0.094
 -0.102 -0.107 -0.108 -0.107 -0.102 -0.094 -0.083 -0.068 -0.052 -0.033
 -0.012  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   47   49
  1.000  1.000  1.000  1.000  1.000  1.000 -0.005 -0.016 -0.026 -0.033
 -0.039 -0.042 -0.043 -0.042 -0.039 -0.033 -0.026 -0.017 -0.005  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   48   49
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
   49    1
  1.000
 Visibility keys component    2
    1    1
 -0.087
    2   49
 -0.087 -0.079 -0.070 -0.062 -0.054 -0.047 -0.041 -0.035 -0.031 -0.027
 -0.024 -0.022 -0.022 -0.022 -0.024 -0.027 -0.031 -0.035 -0.041 -0.047
 -0.054 -0.062 -0.070 -0.078 -0.087 -0.095 -0.104 -0.112 -0.119 -0.127
 -0.133 -0.139 -0.143 -0.147 -0.150 -0.152 -0.152 -0.152 -0.150 -0.147
 -0.143 -0.139 -0.133 -0.127 -0.120 -0.112 -0.104 -0.096 -0.087
    3   49
 -0.087 -0.070 -0.053 -0.037 -0.022 -0.007  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000 -0.007
 -0.021 -0.037 -0.053 -0.069 -0.086 -0.103 -0.120 -0.136 -0.151 -0.165
 -0.178 -0.189 -0.199 -0.206 -0.212 -0.215 -0.216 -0.215 -0.212 -0.206
 -0.199 -0.190 -0.178 -0.166 -0.151 -0.136 -0.120 -0.103 -0.087
    4   49
 -0.086 -0.060 -0.035 -0.011  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000 -0.011 -0.035 -0.060 -0.085 -0.111 -0.136 -0.160 -0.182 -0.204
 -0.223 -0.239 -0.254 -0.265 -0.273 -0.278 -0.280 -0.278 -0.273 -0.265
 -0.254 -0.240 -0.223 -0.204 -0.183 -0.160 -0.136 -0.111 -0.086
    5   49
 -0.084 -0.051 -0.018  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000 -0.017 -0.050 -0.084 -0.118 -0.151 -0.183 -0.213 -0.241
 -0.266 -0.288 -0.307 -0.322 -0.333 -0.340 -0.342 -0.340 -0.333 -0.322
 -0.307 -0.289 -0.267 -0.241 -0.213 -0.183 -0.151 -0.118 -0.084
    6   49
 -0.083 -0.041  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000 -0.041 -0.082 -0.124 -0.165 -0.205 -0.242 -0.277
 -0.309 -0.336 -0.360 -0.378 -0.392 -0.400 -0.403 -0.400 -0.392 -0.378
 -0.360 -0.337 -0.309 -0.278 -0.243 -0.205 -0.166 -0.125 -0.083
    7   49
 -0.081 -0.031  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000 -0.031 -0.080 -0.130 -0.179 -0.226 -0.271 -0.312
 -0.350 -0.383 -0.410 -0.432 -0.448 -0.458 -0.461 -0.458 -0.449 -0.433
 -0.411 -0.383 -0.350 -0.313 -0.271 -0.227 -0.179 -0.131 -0.081
    8   49
 -0.079 -0.021  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000 -0.020 -0.078 -0.135 -0.192 -0.246 -0.298 -0.346
 -0.389 -0.427 -0.459 -0.485 -0.503 -0.515 -0.518 -0.515 -0.504 -0.485
 -0.460 -0.428 -0.390 -0.347 -0.299 -0.247 -0.193 -0.136 -0.079
    9   49
 -0.076 -0.011  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000 -0.010 -0.075 -0.140 -0.204 -0.266 -0.324 -0.378
 -0.427 -0.470 -0.506 -0.535 -0.556 -0.569 -0.573 -0.569 -0.556 -0.536
 -0.507 -0.471 -0.428 -0.379 -0.325 -0.266 -0.205 -0.141 -0.076
   10   49
 -0.073 -0.001  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000 -0.072 -0.144 -0.215 -0.284 -0.349 -0.409
 -0.463 -0.511 -0.551 -0.583 -0.607 -0.621 -0.626 -0.621 -0.607 -0.584
 -0.552 -0.512 -0.464 -0.410 -0.350 -0.285 -0.216 -0.145 -0.073
   11   49
 -0.070  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000 -0.069 -0.148 -0.226 -0.301 -0.372 -0.438
 -0.498 -0.550 -0.594 -0.629 -0.655 -0.670 -0.675 -0.670 -0.655 -0.629
 -0.594 -0.550 -0.498 -0.439 -0.373 -0.302 -0.227 -0.149 -0.070
   12   49
 -0.066  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000 -0.065 -0.151 -0.235 -0.316 -0.394 -0.465
 -0.530 -0.586 -0.634 -0.672 -0.700 -0.716 -0.722 -0.717 -0.700 -0.672
 -0.634 -0.587 -0.530 -0.466 -0.394 -0.317 -0.236 -0.152 -0.066
   13   49
 -0.062  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000  1.000
  1.000  1.000  1.000  1.000 -0.061 -0.153 -0.244 -0.331 -0.413 -0.490
 -0.559 -0.620 -0.671 -0.712 -0.742 -0.760 -0.766 -0.760 -0.742 -0.712
 -0.672 -0.621 -0.560 -0.491 -0.414 -0.332 -0.245 -0.154 -0.062
   14   49
